specId,testId,state,code,severity,respTime,url,method,ic,numValid,numInvalid,hasPayload,hasDate,hasDateTime,hasInt32,hasInt64,hasFloat,hasDouble,hasEmpty,hasRange,hasSymbol,hasGreater,hasLower,hasBTrue,hasBFalse,hasSRange,hasLang
2,103,success,403,0,7,http://host.docker.internal:11188/configprops.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,104,success,403,0,5,http://host.docker.internal:11188/dump,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,105,success,403,0,5,http://host.docker.internal:11188/dump.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,106,success,403,0,5,http://host.docker.internal:11188/env,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,107,success,403,0,5,http://host.docker.internal:11188/env.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,108,success,403,0,5,http://host.docker.internal:11188/env/{name},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,109,success,403,0,5,http://host.docker.internal:11188/env/{name},GET,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,110,failed,500,2,5,http://host.docker.internal:11188/error,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111,failed,500,2,4,http://host.docker.internal:11188/error,PUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,failed,500,2,4,http://host.docker.internal:11188/error,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,113,failed,500,2,5,http://host.docker.internal:11188/error,DELETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,114,failed,500,2,7,http://host.docker.internal:11188/error,PATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,failed,500,2,4,http://host.docker.internal:11188/error,HEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,116,success,200,0,3,http://host.docker.internal:11188/error,OPTIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,117,success,200,0,3,http://host.docker.internal:11188/health,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,118,success,200,0,2,http://host.docker.internal:11188/health.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,119,success,403,0,4,http://host.docker.internal:11188/heapdump?live={live},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,120,success,403,0,5,http://host.docker.internal:11188/heapdump?live={live},GET,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,121,success,403,0,5,http://host.docker.internal:11188/heapdump.json?live={live},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,122,success,403,0,6,http://host.docker.internal:11188/heapdump.json?live={live},GET,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,123,success,200,0,4,http://host.docker.internal:11188/info,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,124,success,200,0,2,http://host.docker.internal:11188/info.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,125,success,403,0,4,http://host.docker.internal:11188/loggers,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,126,success,403,0,6,http://host.docker.internal:11188/loggers.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,127,success,403,0,6,http://host.docker.internal:11188/loggers/{name},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,128,success,403,0,9,http://host.docker.internal:11188/loggers/{name},GET,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,129,success,403,0,6,http://host.docker.internal:11188/loggers/{name},POST,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,130,failed,405,1,6,http://host.docker.internal:11188/loggers/{name},POST,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,131,success,403,0,5,http://host.docker.internal:11188/mappings,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,132,success,403,0,5,http://host.docker.internal:11188/mappings.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,133,success,403,0,5,http://host.docker.internal:11188/metrics,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,134,success,403,0,5,http://host.docker.internal:11188/metrics.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,135,success,403,0,6,http://host.docker.internal:11188/metrics/{name},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,136,success,403,0,6,http://host.docker.internal:11188/metrics/{name},GET,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,137,success,403,0,5,http://host.docker.internal:11188/trace,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,138,success,403,0,5,http://host.docker.internal:11188/trace.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,139,success,200,0,6,http://host.docker.internal:12031/api/v1/orderservice/order,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,140,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,16,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3,141,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,142,failed,400,1,5,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,143,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,144,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,145,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,146,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,147,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,148,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,149,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,150,failed,400,1,3,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
